Alternatif,Rank Konvesnional,Rank Fuzzy AHP,Keterangan,Selisih Index
M205,91,1,Lebih Rendah,90
M008,10,2,Lebih Rendah,8
M098,1,3,Lebih Tinggi,2
M052,33,4,Lebih Rendah,29
M051,76,5,Lebih Rendah,71
M197,90,6,Lebih Rendah,84
M183,108,7,Lebih Rendah,101
M080,118,8,Lebih Rendah,110
M115,5,9,Lebih Tinggi,4
M037,115,10,Lebih Rendah,105
M025,6,11,Lebih Tinggi,5
M129,140,12,Lebih Rendah,128
M074,12,13,Lebih Tinggi,1
M040,55,14,Lebih Rendah,41
M093,4,15,Lebih Tinggi,11
M062,2,16,Lebih Tinggi,14
M114,88,17,Lebih Rendah,71
M155,44,18,Lebih Rendah,26
M210,28,19,Lebih Rendah,9
M044,19,20,Lebih Tinggi,1
M165,9,21,Lebih Tinggi,12
M036,18,22,Lebih Tinggi,4
M121,21,23,Lebih Tinggi,2
M162,26,24,Lebih Rendah,2
M123,39,25,Lebih Rendah,14
M108,61,26,Lebih Rendah,35
M126,22,27,Lebih Tinggi,5
M067,34,28,Lebih Rendah,6
M019,31,29,Lebih Rendah,2
M125,63,30,Lebih Rendah,33
M009,30,31,Lebih Tinggi,1
M157,89,32,Lebih Rendah,57
M192,70,33,Lebih Rendah,37
M122,8,34,Lebih Tinggi,26
M071,79,35,Lebih Rendah,44
M119,38,36,Lebih Rendah,2
M079,59,37,Lebih Rendah,22
M206,27,38,Lebih Tinggi,11
M033,54,39,Lebih Rendah,15
M127,40,40,Sama,0
M209,48,41,Lebih Rendah,7
M131,41,42,Lebih Tinggi,1
M050,3,43,Lebih Tinggi,40
M207,72,44,Lebih Rendah,28
M141,43,45,Lebih Tinggi,2
M084,7,46,Lebih Tinggi,39
M164,46,47,Lebih Tinggi,1
M001,73,48,Lebih Rendah,25
M024,17,49,Lebih Tinggi,32
M142,144,50,Lebih Rendah,94
M042,56,51,Lebih Rendah,5
M039,75,52,Lebih Rendah,23
M077,80,53,Lebih Rendah,27
M203,71,54,Lebih Rendah,17
M041,32,55,Lebih Tinggi,23
M004,111,56,Lebih Rendah,55
M134,42,57,Lebih Tinggi,15
M054,57,58,Lebih Tinggi,1
M148,24,59,Lebih Tinggi,35
M179,47,60,Lebih Tinggi,13
M068,58,61,Lebih Tinggi,3
M063,116,62,Lebih Rendah,54
M181,67,63,Lebih Rendah,4
M020,51,64,Lebih Tinggi,13
M124,62,65,Lebih Tinggi,3
M161,25,66,Lebih Tinggi,41
M059,77,67,Lebih Rendah,10
M029,52,68,Lebih Tinggi,16
M094,36,69,Lebih Tinggi,33
M017,113,70,Lebih Rendah,43
M146,65,71,Lebih Tinggi,6
M118,102,72,Lebih Rendah,30
M140,175,73,Lebih Rendah,102
M211,169,74,Lebih Rendah,95
M013,15,75,Lebih Tinggi,60
M016,16,76,Lebih Tinggi,60
M186,69,77,Lebih Tinggi,8
M014,50,78,Lebih Tinggi,28
M032,74,79,Lebih Tinggi,5
M190,14,80,Lebih Tinggi,66
M035,11,81,Lebih Tinggi,70
M182,68,82,Lebih Tinggi,14
M104,60,83,Lebih Tinggi,23
M100,86,84,Lebih Rendah,2
M136,23,85,Lebih Tinggi,62
M075,35,86,Lebih Tinggi,51
M105,13,87,Lebih Tinggi,74
M107,101,88,Lebih Rendah,13
M130,141,89,Lebih Rendah,52
M087,135,90,Lebih Rendah,45
M175,66,91,Lebih Tinggi,25
M158,45,92,Lebih Tinggi,47
M169,105,93,Lebih Rendah,12
M156,122,94,Lebih Rendah,28
M196,126,95,Lebih Rendah,31
M047,130,96,Lebih Rendah,34
M006,29,97,Lebih Tinggi,68
M117,188,98,Lebih Rendah,90
M069,20,99,Lebih Tinggi,79
M198,110,100,Lebih Rendah,10
M002,182,101,Lebih Rendah,81
M204,193,102,Lebih Rendah,91
M128,139,103,Lebih Rendah,36
M208,152,104,Lebih Rendah,48
M085,173,105,Lebih Rendah,68
M005,49,106,Lebih Tinggi,57
M097,37,107,Lebih Tinggi,70
M058,132,108,Lebih Rendah,24
M061,78,109,Lebih Tinggi,31
M088,81,110,Lebih Tinggi,29
M010,183,111,Lebih Rendah,72
M139,143,112,Lebih Rendah,31
M116,163,113,Lebih Rendah,50
M090,83,114,Lebih Tinggi,31
M154,145,115,Lebih Rendah,30
M065,117,116,Lebih Rendah,1
M153,177,117,Lebih Rendah,60
M176,124,118,Lebih Rendah,6
M027,114,119,Lebih Tinggi,5
M076,202,120,Lebih Rendah,82
M092,84,121,Lebih Tinggi,37
M086,134,122,Lebih Rendah,12
M053,96,123,Lebih Tinggi,27
M026,195,124,Lebih Rendah,71
M031,93,125,Lebih Tinggi,32
M018,185,126,Lebih Rendah,59
M091,99,127,Lebih Tinggi,28
M133,142,128,Lebih Rendah,14
M113,87,129,Lebih Tinggi,42
M120,164,130,Lebih Rendah,34
M034,94,131,Lebih Tinggi,37
M143,64,132,Lebih Tinggi,68
